hr,codigo_linha,origem,destino,tipo,circular,codigo_cl
21:21,3721-41,METRÔ ITAQUERA,SHOP. ARICANDUVA,,1,1693
21:21,6072-10,TERM. VARGINHA,JD. SÃO NICOLAU,,1,1588
21:21,627M-10,TERM. STO. AMARO,MAR PAULISTA,,1,2597
21:21,148L-10,LAPA,COHAB ANTÁRTICA,,2,33299
21:21,5103-10,MOEMA,TERM. SACOMÃ,,2,34414
21:21,6015-10,JD. ÂNGELA,VL. CALÚ,,1,1205
21:21,7006-51,METRÔ CAPÃO REDONDO,JD. HORIZONTE AZUL,,2,34765
21:21,2008-10,CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO,,1,897
21:21,3008-10,CPTM ITAIM PAULISTA,JD. MIRIAM,,2,35283
21:21,2710-10,BURGO PAULISTA,METRÔ PATRIARCA,,2,33692
21:21,978T-10,METRÔ BARRA FUNDA,JD. GUARANI,,2,33657
21:21,5300-10,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,,1,354
21:21,3766-10,METRÔ ITAQUERA,COHAB II,,1,1055
21:21,4033-10,NOVA CONQUISTA,JD. GUAIRACÁ,,2,33871
21:21,6014-10,TERM. STO. AMARO,TERM. JD. JACIRA,,1,188
21:21,6057-10,TERM. GRAJAÚ,VL. NATAL,,2,33916
21:21,6039-21,COHAB JD. SÃO BENTO,TERM. CAPELINHA,,2,35261
21:21,2551-10,TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO,,1,141
21:21,637G-10,PINHEIROS,GRAJAÚ,,2,32869
21:21,3026-10,CPTM GUAIANASES,VL. IOLANDA II,,1,962
21:21,574W-10,METRÔ BELÉM,JD. WALKIRIA,,2,34397
21:21,2708-10,METRÔ ITAQUERA,JD. LAJEADO,,2,33689
21:21,8047-10,LAPA,JARAGUÁ,,2,33176
21:21,3789-10,METRÔ ITAQUERA,CID. TIRADENTES,,2,33835
21:21,6076-10,TERM. STO. AMARO,JD. PROGRESSO,,2,33933
21:21,2161-10,PÇA. DO CORREIO,PQ. EDU CHAVES,,2,33462
21:21,8010-10,LAPA,PERUS,,2,33566
21:21,2740-10,METRÔ SANTANA,PEDRA BRANCA,,1,1792
21:21,709G-10,ITAIM BIBI,TERM. GUARAPIRANGA,,1,2020
